naam_csv,ondernemingsnr,naam_kbo,rechtsvorm,status,oprichtingsdatum,straat,postcode,gemeente
Proximus NV,0202.239.951,0202239951,Société anonyme de droit public,active,1930-07-19,Boulevard du Roi AlbertII,1030,Schaerbeek
Colruyt Group NV,0400.378.485,0400378485,Société anonyme,active,1950-03-09,Edingensesteenweg,1500,Halle
Bekaert NV,0405.388.536,0405388536,Société anonyme,active,1935-10-19,Bekaertstraat(Z),8550,Zwevegem
UCB NV,0403.053.608,0403053608,Société anonyme,active,1925-05-26,Allée de la Recherche,1070,Anderlecht
Umicore NV,0401.574.852,0401574852,Société anonyme,active,1904-07-07,Rue du Marais,1000,Bruxelles
KBC Group NV,0403.227.515,0403227515,Société anonyme,active,1935-02-09,Avenue du Port,1080,Molenbeek-Saint-Jean
Delhaize NV,0402.206.045,0402206045,Société anonyme,active,1962-01-01,Brusselsesteenweg,1730,Asse
D'leteren Group NV,0403.448.140,0403448140,Société anonyme,active,1919-08-21,Rue du Mail,1050,Ixelles
Elia Group NV,0476.388.378,0476388378,Société anonyme,active,2001-12-21,Boulevard de l'Empereur,1000,Bruxelles
Lotus Bakeries NV,0401.418.631,NIET GEVONDEN,,,,,,
